,微信昵称,评论内容,ip地址
86,手撕鷄。,"最喜欢早睡早起，积极乐观的自己。
最喜欢尊老爱幼，孝敬父母的自己。
最喜欢认真细心，专注工作的自己。
当然还有，周末经常光顾以纯，大包小包的自己～","[['中国', '广西', '']]"
87,白胖子,我最爱热爱运动的我！每天可以不学习，但是不可以不运动，一天不运动，良心不安哈哈哈,"[['中国', '四川', '']]"
88,加油喔,"我最喜欢充满活力、积极向上、有目标、敢爱会爱、自信、……的我吗？可有时候我也会自我怀疑，焦虑，丧失目标，独自emo。看着这个问题我再三思考
我想我最喜欢的就是我:一个平凡，渴望爱，会拼也会累的我，不是哪一面，而是方方面面汇成的这世间独一无二的我自己。","[['中国', '四川', '']]"
89,，,"我最喜欢不修边幅的我！
自己自在才最好，不要别人觉得，要自己觉得！
每个人身上都不完美，正是每个不完美的人在一起，才造就了这纷繁多姿的世界！
完美的人就不是人了，是神，可是还有句话，只羡鸳鸯不羡仙，所以还是做个不完美的自己，多好！","[['中国', '贵州', '']]"
90,小蜗牛,我最喜欢不敏感的我(๑•̌.•̑๑),"[['中国', '内蒙古', '']]"
91,Doikdoik💓,有时候望着天边的夕阳，我会爱自己，爱自己虽然普通，但是这个世界上只有我一个，我吹过早上的风，也看过四季不同的雨，因为爱自己，才会如此热爱生活。,"[['中国', '广西', '']]"
92,钱泳胜,我最喜欢一个人默默爱你，为你加油鼓励，收拾屋子，接你上下班，为你做饭的我。把喜欢留给了自己，把爱留给你,"[['中国', '江苏', '']]"
93,🌻Sunshine,我最喜欢童年的我，有外公外婆在一起的日子，虽然生活困难，但是快乐开心😊😊😊,"[['中国', '广东', '']]"
94,秋,我最爱知道自己想要什么并为此竭尽全力的我,"[['中国', '广东', '']]"
95,kingnana,亲爱的自己，希望今后的每天，眼睛里都有光,"[['中国', '山东', '']]"
96,一只皮卡秋,"#对自己说爱#
我最喜欢有了想法随之付出行动的我","[['中国', '天津', '']]"
97,和你,"以纯好特别啊，第一个看到说要说爱自己的。想要爱别人，当然要从好好爱自己开始！[爱心]
我最喜欢纠结时做出选择并且不后悔的自己～
人生有太多需要面临选择的时刻了，我所能做的，是尽量做出好的选择并且承担它带来的后果，无论是好是坏，都是自己的人生，都不后悔～","[['中国', '安徽', '']]"
98,【戀】Ｓmile,520，爱自己，无惧单身与否，都是最美的自己,"[['中国', '广东', '']]"
